iter	Logloss
0	0.6421183675
1	0.6304333496
2	0.6167846273
3	0.6105905762
4	0.6072360026
5	0.6024379883
6	0.5983330892
7	0.5918567708
8	0.5883693848
9	0.5823662516
10	0.5788889974
11	0.5729816081
12	0.568201945
13	0.5641624349
14	0.5597385254
15	0.5578367106
16	0.5544608561
17	0.5501892904
18	0.5466123047
19	0.5421157227
20	0.5381858724
21	0.5344253743
22	0.5300597738
23	0.5259446615
24	0.5229506836
25	0.5199383952
26	0.5169673665
27	0.5140086263
28	0.5126624349
29	0.509276652
30	0.5066636149
31	0.5042285563
32	0.5021145833
33	0.4980030924
34	0.4953956299
35	0.4918037923
36	0.4880953369
37	0.4867997233
38	0.4829442546
39	0.4804500732
40	0.4791625977
41	0.4754396973
42	0.4736670736
43	0.4716278483
44	0.470624349
45	0.4675356445
46	0.4642209473
47	0.4609991862
48	0.4585287272
49	0.4554462891
50	0.4520539958
51	0.449498291
52	0.4485878499
53	0.4477941081
54	0.446818929
55	0.4432262777
56	0.441513916
57	0.4384226888
58	0.4370537109
59	0.4347869466
60	0.4316162516
61	0.4308936361
62	0.430180013
63	0.4280650228
64	0.4262930501
65	0.4231515299
66	0.4222797852
67	0.4213655599
68	0.4190578613
69	0.4185289714
70	0.415487793
71	0.4127693685
72	0.4106601156
73	0.406559082
74	0.4025113118
75	0.4009752604
76	0.4002430013
77	0.3991327311
78	0.3988795573
79	0.3985327962
80	0.3955493164
81	0.3951472168
82	0.3921456706
83	0.3902142741
84	0.3875362956
85	0.3856020915
86	0.3833522135
87	0.3815671387
88	0.3793385417
89	0.37787618
90	0.3759336344
91	0.3755323079
92	0.3727811686
93	0.3714732259
94	0.3687338867
95	0.3662027181
96	0.3634627279
97	0.3613586833
98	0.3574836833
99	0.3543961589
100	0.3540592855
101	0.3536187337
102	0.3531480306
103	0.3513226725
104	0.3487170817
105	0.3458199056
106	0.343431071
107	0.3421052246
108	0.340162679
109	0.3377509359
110	0.3357441813
111	0.3344829712
112	0.3321392619
113	0.3293528646
114	0.3291761475
115	0.3284796549
116	0.3263779704
117	0.3259553223
118	0.3256369629
119	0.3249018148
120	0.3227906087
121	0.3224899495
122	0.3207303467
123	0.3187835286
124	0.3160900065
125	0.3149101969
126	0.3125814819
127	0.3104289958
128	0.3102038981
129	0.3083268026
130	0.3070432129
131	0.3059411621
132	0.3031224365
133	0.3013537801
134	0.299168335
135	0.2972925008
136	0.2970703532
137	0.2950873617
138	0.2928614095
139	0.2924895223
140	0.2913140259
141	0.2910813395
142	0.2894029134
143	0.2874983317
144	0.2849024251
145	0.282638265
146	0.2814001872
