iter	Passed	Remaining
0	8	12051
1	15	11768
2	25	12840
3	33	12363
4	40	12074
5	47	11929
6	54	11563
7	61	11414
8	68	11274
9	75	11208
10	82	11160
11	88	11020
12	95	10878
13	101	10740
14	107	10635
15	113	10544
16	120	10531
17	127	10505
18	134	10445
19	140	10422
20	147	10383
21	154	10355
22	160	10313
23	168	10333
24	175	10335
25	182	10336
26	188	10293
27	195	10253
28	201	10200
29	207	10157
30	213	10126
31	220	10118
32	227	10112
33	234	10108
34	241	10127
35	249	10127
36	255	10111
37	262	10080
38	269	10080
39	276	10089
40	283	10088
41	290	10085
42	296	10057
43	303	10044
44	309	10023
45	316	10010
46	324	10019
47	332	10052
48	340	10073
49	347	10066
50	354	10066
51	361	10059
52	368	10050
53	375	10047
54	382	10052
55	389	10055
56	396	10031
57	402	10013
58	409	10007
59	416	9985
60	423	9995
61	430	9983
62	436	9960
63	444	9968
64	451	9962
65	458	9957
66	464	9935
67	471	9933
68	478	9928
69	485	9922
70	492	9918
71	499	9900
72	505	9890
73	512	9877
74	519	9870
75	526	9865
76	533	9851
77	540	9848
78	546	9836
79	554	9836
80	560	9822
81	567	9808
82	574	9810
83	581	9807
84	589	9810
85	595	9793
86	602	9784
87	609	9772
88	615	9758
89	622	9759
90	629	9749
91	636	9738
92	643	9734
93	650	9727
94	657	9721
95	663	9706
96	671	9713
97	678	9712
98	686	9714
99	693	9702
100	699	9688
101	706	9677
102	712	9661
103	719	9655
104	726	9651
105	733	9650
106	740	9639
107	747	9631
108	754	9626
109	761	9618
110	767	9607
111	774	9603
112	781	9597
113	789	9593
114	795	9576
115	801	9561
116	807	9548
117	813	9531
118	820	9517
119	826	9510
120	834	9505
121	840	9490
122	847	9482
123	853	9473
124	860	9462
125	866	9451
126	873	9445
127	880	9443
128	887	9433
129	894	9424
130	900	9411
131	906	9397
132	913	9384
133	919	9372
134	926	9368
135	933	9362
136	939	9348
137	946	9344
138	953	9334
139	961	9336
140	968	9338
141	980	9381
142	989	9394
143	998	9406
144	1007	9418
145	1019	9457
146	1027	9460
147	1036	9471
148	1044	9469
149	1052	9469
150	1059	9466
151	1067	9467
152	1075	9466
153	1083	9471
154	1091	9475
155	1099	9473
156	1107	9469
157	1114	9468
158	1121	9461
159	1129	9463
160	1138	9465
161	1144	9455
162	1153	9458
163	1160	9451
164	1167	9446
165	1174	9441
166	1182	9441
167	1190	9435
168	1197	9432
169	1204	9420
170	1211	9413
171	1219	9412
172	1226	9405
173	1234	9409
174	1242	9405
175	1249	9401
176	1256	9388
177	1264	9388
178	1270	9376
179	1278	9376
180	1286	9372
181	1293	9366
182	1300	9362
183	1307	9349
184	1314	9341
185	1320	9329
186	1327	9322
187	1334	9314
